h3_index,city,service_count,Culture,Education,Financial,Food,Food Retail,Health,Professional Services,Public Services,Public Utilities,Recreation,Religion,Retail,Security,Services,Sports,Tourism,Transportation,lat,lng
8a1f99413d67fff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.19027300671094,9.13890095805645
8a1f9941625ffff,Pavia,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45.19652537920037,9.116237382096077
8a1f99402497fff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.215090200946854,9.164453594655164
8a1f99413127fff,Pavia,9,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,2,45.18826260527946,9.14590887338477
8a1f9941e8cffff,Pavia,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,45.19285701672356,9.181205950096219
8a1f994102affff,Pavia,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,45.19826004551969,9.141855021407869
8a1f99411227fff,Pavia,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,45.20441763106347,9.173425596095939
8a1f99411c9ffff,Pavia,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,45.20246465664252,9.149440504686
8a1f99413a1ffff,Pavia,22,1,0,0,0,0,0,0,0,11,6,0,0,0,0,0,3,1,45.189795207822826,9.157673349262447
8a1f99418327fff,Pavia,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,45.19276996195872,9.219952304754967
8a1f99413387fff,Pavia,12,0,0,0,3,3,1,0,0,3,0,0,0,0,2,0,0,0,45.18269352652307,9.155906838239359
8a1f9941e5affff,Pavia,5,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,45.18200280188103,9.168571532334264
8a1f99411847fff,Pavia,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,45.213093826798044,9.163714208896764
8a1f99413a47fff,Pavia,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.19134175227902,9.161691407568355
8a1f994ad84ffff,Pavia,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,45.17556104145413,9.169632568502422
8a1f99413a67fff,Pavia,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,45.19245271941783,9.161241186814088
8a1f99413137fff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.1873766370703,9.144719892606846
8a1f99413b5ffff,Pavia,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45.192677849550805,9.159601632897564
8a1f994acb5ffff,Pavia,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,45.17249754211245,9.146106989504048
8a1f99413d4ffff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18893731690025,9.140990774846792
8a1f994110a7fff,Pavia,8,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,45.203111395872874,9.160017877682877
8a1f99411a27fff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.21219346322769,9.170274231536549
8a1f994028f7fff,Pavia,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,45.230609766240185,9.173650933974141
8a1f9941e417fff,Pavia,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,45.18066630040898,9.1706609834592
8a1f9941342ffff,Pavia,9,0,0,0,2,0,0,0,0,0,1,0,0,0,0,6,0,0,45.179388810346246,9.141765897803104
8a1f99413087fff,Pavia,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,45.18182188942997,9.146971678034024
8a1f99413ccffff,Pavia,5,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,45.18360772173758,9.141603560213232
8a1f9941040ffff,Pavia,6,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,45.19540283737786,9.124434236943983
8a1f9941059ffff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.19407967665491,9.118778198986972
8a1f994104a7fff,Pavia,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,45.19385516563257,9.120417524491636
8a1f99411ab7fff,Pavia,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.20842571710429,9.16715529254664
8a1f99413027fff,Pavia,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,45.185815778727,9.148448942445466
8a1f994130c7fff,Pavia,5,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,45.18225779063299,9.151439178520043
8a1f99413107fff,Pavia,5,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,45.187151692854165,9.14635924464365
8a1f9941a987fff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.17796005401551,9.190333892202258
8a1f9941e96ffff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.199297902399266,9.180145546419322
8a1f994139affff,Pavia,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.19293095610313,9.142467823514156
8a1f994aca77fff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.1713864298908,9.146557270044703
8a1f9941389ffff,Pavia,15,0,0,1,2,0,1,0,1,4,1,0,0,1,0,0,1,3,45.188487535168065,9.144269501483052
8a1f99413b67fff,Pavia,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,45.19489970374246,9.158701117597591
8a1f99413327fff,Pavia,15,1,3,0,1,0,0,0,0,4,4,0,0,0,0,0,0,2,45.186687367612606,9.157384636676268
